project,has_global_start,sprite_starting_point,laggy_movement,double_condition,missing_forever_loop,clone_initialization,missing_termination,loose_blocks,multiple_attribute_modification,empty_body,sequential_actions,duplicated_name,long_script,broadcast_sync,nested_loops,duplicated_script,race_condition
100000project.json,0,0,0,0,0,0,0,12,0,0,0,0,3,0,0,0,2
10519701.json,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
10541430.sb,0,0,0,0,0,0,0,1,0,0,0,6,1,0,0,6,0
10942522.sb,0,0,0,0,0,0,0,1,0,0,1,2,3,0,0,142,0
11823040.sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11828235.sb,0,1,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0
12030146.sb,0,0,0,0,0,0,0,5,0,0,0,13,5,0,0,92,0
12093755.sb,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12237615.sb,0,0,0,0,0,0,0,4,0,0,2,5,2,0,0,0,0
12256407.sb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12441584.sb,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,3
12596438.sb,1,0,0,0,0,0,0,0,0,0,0,21,0,0,0,376,0
12596590.sb,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12597047.sb,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12597397.sb,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12683181.sb,0,0,0,0,0,0,0,0,0,0,0,7,2,1,0,0,0
13223646.sb,0,0,0,0,0,0,0,2,0,0,0,3,7,0,0,0,0
13357844.sb,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,12,0
13618241.sb,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
14073938.sb,0,0,0,0,0,0,0,4,0,0,0,4,2,0,0,0,0
14125270.sb,0,0,0,0,0,0,0,0,0,0,0,15,16,15,0,184,0
14137046.sb,0,0,0,0,0,0,0,2,0,0,0,7,3,0,0,488,0
14161862.sb,0,0,0,0,0,0,0,1,0,0,0,5,3,0,0,2,0
14742679.sb,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0
14860321.sb,0,0,0,0,0,0,0,0,0,0,0,16,1,1,0,220,0
15032542.sb,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0
15086346.sb,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0
15118716.sb,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
15141278.sb,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
15163360.sb,0,0,0,0,0,0,0,3,0,0,0,2,2,0,0,0,0
15187520.sb,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
15296441.sb,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15529084.sb,0,0,0,0,0,0,0,7,0,0,0,1,3,1,0,0,0
15548188.sb,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
15591364.sb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15592031.sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15649432.sb,0,0,0,0,0,0,0,2,0,0,1,14,13,10,0,1320,0
15819791.sb,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0
15819951.sb,0,1,0,0,0,0,0,1,0,0,0,0,8,0,0,2,1
15831642.sb,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15970357.sb,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
