project,blockCount,has_global_start,sprite_starting_point,laggy_movement,double_condition,missing_forever_loop,clone_initialization,missing_termination,loose_blocks,multiple_attribute_modification,empty_body,sequential_actions,sprite_naming,long_script,broadcast_sync,nested_loops,duplicated_script,race_condition,empty_script,middle_man,no_op,variable_scope,unused_variable,duplicated_sprite,inappropriate_intimacy,noop_project
99530025.sb,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
99530029.sb,87,0,1,0,0,0,0,0,1,1,0,2,2,1,0,0,2,0,1,3,0,0,1,0,0,0
99530030.sb,1568,0,1,0,1,0,0,0,200,0,20,2,22,16,17,0,35,10,13,5,0,1,1,0,0,0
99530037.sb,20,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
99530060.sb,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1
99530070.sb,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
99530074.sb,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
99530081.sb,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
99530086.sb,59,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0
99530093.sb,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99530102.sb,218,0,1,0,0,0,0,0,5,0,1,3,3,4,3,0,2,0,1,5,0,0,0,0,0,0
99530107.sb,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99530109.sb,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
99530127.sb,30,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
99530133.sb,48,0,0,0,0,0,0,0,5,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0
99530134.sb,162,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0
99530143.sb,74,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,2,0,0,0,0,2,0,0,0,0
99530152.sb,20,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0
99530157.sb,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
99530158.sb,33,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1
99530160.sb,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99530169.sb,36,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
99530176.sb,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
99530183.sb,1079,0,0,0,0,0,0,0,169,0,0,3,3,11,0,0,5,0,2,13,4,1,12,0,0,0
99530187.sb,22,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0
99530191.sb,105,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0
99530196.sb,403,0,0,0,0,0,0,0,12,0,0,0,18,1,1,0,9,0,0,0,0,1,0,0,0,0
